id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,情感结果,情感得分
5206070106259704,Q2xUuqgqY,7981798606,新刊人物,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",0.0,0.0,0.0,2025-09-01 14:15:00,微博视频号,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805390&ssig=5VQr9RXfjS&KID=unistore,video",,,neutral,0.5
5206070051473119,Q2xUp6bdZ,2660751035,lyxzyl,#凯迪拉克##IQ锐歌##樊振东##樊振东德甲#,,,,"凯迪拉克,IQ锐歌,樊振东,樊振东德甲",0.0,0.0,8350.0,2025-09-01 14:14:00,iPhone 14 Pro Max,,,5206000000000000.0,,neutral,0.5
5205876128612720,Q2sRCA8yQ,6180484472,该叫什么呢en,#樊振东1比3杜达#即便是303也没啥，就一个德甲又不是奥运会，也不是世界杯丢冠，难不成还会被载入史册不成？慢慢恢复，好好复盘，相信东哥。,,,,樊振东1比3杜达,0.0,0.0,3.0,2025-09-01 01:24:00,荣耀80 5G,,,,,neutral,0.5
5205875895567431,Q2sRfnmlh,6574089916,无敌小鱼饼__o,乒颜一超话珍宝咚可还记得#樊振东德甲首秀#,,,,樊振东德甲首秀,0.0,1.0,3.0,2025-09-01 01:23:00,乒颜一超话,['https://wx3.sinaimg.cn/large/007aUd6kly1i4xjoutvlkj317t0goq59.jpg'],,,,neutral,0.5
5205965861552465,Q2vcm6vRL,7940323006,米条路,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【视频】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,426.0,2025-09-01 07:20:00,Android,,,5205830000000000.0,,neutral,0.5
5206117720260732,Q2z9i15Pm,6978043396,少冰三分糖111,#樊振东说需要适应德甲#,,,,樊振东说需要适应德甲,0.0,0.0,0.0,2025-09-01 17:24:00,Xiaomi 15,['https://wx1.sinaimg.cn/large/007Cf9R2ly1i4ybh1uww8j31jk1jk44s.jpg'],,,,neutral,0.5
5206117686706956,Q2z9es8MI,2757394263,网易体育频道,#教练说让樊振东慢慢去适应#据媒体报道，完成新赛季德甲首秀后，萨尔布吕肯俱乐部教练王志接受媒体采访，他总结了球队首秀表现，在谈到重磅新援樊振东时表示，会让球员慢慢去适应、融合。王志表示：“第一场我们可能准备不足，但是我们会共同的吸取教训和经验，在接下来的比赛中争取做得更好。遇到的困难可能比想象中要大，但是我们是只能一起努力，然后让樊振东慢慢地去适应，然后去融合。”（视频：瞭望东方周刊）L吃瓜比赛冠军的微博视频,,,,教练说让樊振东慢慢去适应,0.0,3.0,19.0,2025-09-01 17:24:00,微博视频号,,"http://f.video.weibocdn.com/o0/Hs2QJYpklx08r4g8UIeQ01041200c17Z0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805534&ssig=A%2BSatrk1SW&KID=unistore,video",,,neutral,0.52
5206117669406468,Q2z9cDt3e,5029167330,kiki福泽多,//@·TinyflasH·:嘟嘟嘟嘟嘟#樊振东德甲#,,,·TinyflasH·,樊振东德甲,0.0,0.0,1946.0,2025-09-01 17:24:00,OPPO Find X8 Ultra,,,5206080000000000.0,,neutral,0.5
5206052167748216,Q2xrywvFe,2010802407,中国台州网,【#吴敬平教练谈樊振东德甲首秀失利#：不是一件坏事】#吴敬平说小胖首秀失利不是一件坏事#9月1日，@吴敬平教练发文：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。据此前报道，8月31日，北京时间8月31日，樊振东迎来德甲生涯首秀，在自己出战的首盘单打比赛中，樊振东与罗曼·鲁伊斯激战五局，最终以2比3遗憾落败。在没有退路的第四盘，樊振东1∶3杜达，比分为9-11、11-4、5-11、3-11。戳#樊振东已经在琢磨如何改进了#>>L钱江视频的微博视频,,,吴敬平教练,"吴敬平教练谈樊振东德甲首秀失利,吴敬平说小胖首秀失利不是一件坏事,樊振东已经在琢磨如何改进了",0.0,0.0,3.0,2025-09-01 13:03:00,微博视频号,,"http://f.video.weibocdn.com/o0/yRLsSMt4lx08r3Yu1cnm010412005uph0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805567&ssig=e02kSYk5tE&KID=unistore,video",,,neutral,0.5
5206518001829428,Q2JyU7FUU,7567815928,Zziiiiii_yin,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【图片】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,297.0,2025-09-02 19:54:00,,,,5206130000000000.0,,neutral,0.5
